Date;High price;Low price;Closing price
2019-02-01;1528.29;1514.93;1525.69
2019-02-04;1529.38;1520.22;1527.19
2019-02-05;1544.35;1526.35;1542.49
2019-02-06;1554.05;1537.64;1551.15
2019-02-07;1557.79;1529.28;1529.28
2019-02-08;1536.03;1524.29;1527.17
2019-02-11;1546.16;1528.2;1542.33
2019-02-12;1551.99;1542.79;1549.41
2019-02-13;1562.23;1549.57;1558.58
2019-02-14;1570.62;1557.58;1562.36
2019-02-15;1584.46;1555.98;1583.82
2019-02-18;1588.82;1576.66;1583.86
2019-02-19;1591.96;1581.73;1587.22
2019-02-20;1591.36;1578.74;1588.61
2019-02-21;1591.26;1572.65;1572.65
2019-02-22;1591.81;1573.01;1588.83
2019-02-25;1598.09;1581.09;1586.55
2019-02-26;1589.23;1577.16;1583.95
2019-02-27;1583.17;1573.24;1576.55
2019-02-28;1577.42;1558.05;1572.68
2019-03-01;1585.58;1573.86;1580.22
2019-03-04;1592.68;1580.29;1587.79
2019-03-05;1590.41;1575.58;1587.97
2019-03-06;1588.06;1571.46;1572.63
2019-03-07;1575.5;1553.14;1558.91
2019-03-08;1559.05;1546.71;1558.63
2019-03-11;1571.26;1558.72;1569.93
2019-03-12;1577.52;1563.84;1565.56
2019-03-13;1574.2;1561.18;1572.8
2019-03-14;1590.76;1572.83;1590.76
2019-03-15;1597.61;1582.25;1595.76
2019-03-18;1607.54;1595.92;1605.01
2019-03-19;1622.33;1604.32;1615.14
2019-03-20;1619.75;1605.99;1605.99
2019-03-21;1610.04;1595.45;1605.03
2019-03-22;1610.37;1576.87;1576.87
2019-03-25;1578.63;1563.23;1573.66
2019-03-26;1576.03;1565.5;1574.16
2019-03-27;1579.65;1560.49;1565.85
2019-03-28;1571.17;1553.8;1559.32
2019-03-29;1564.3;1545.19;1553.42
2019-04-01;1580.98;1554.92;1580.33
2019-04-02;1598.71;1577.59;1593.95
2019-04-03;1622.38;1596.04;1622.38
2019-04-04;1622.75;1608.94;1616.24
2019-04-05;1624.28;1616.26;1622.27
2019-04-08;1624.52;1615.76;1624.52
2019-04-09;1633.83;1614.01;1616.56
2019-04-10;1628.74;1615.33;1628.55
2019-04-11;1633.09;1620.98;1627.03
2019-04-12;1642.96;1625.36;1641.21
2019-04-15;1644.98;1637.14;1642.63
2019-04-16;1654.1;1642.16;1647.52
2019-04-17;1660.62;1645.35;1660.14
2019-04-18;1673.03;1654.55;1670.74
2019-04-23;1673.8;1661.39;1672.18
2019-04-24;1686.4;1670.41;1680.72
2019-04-25;1700.35;1668.43;1689.42
2019-04-26;1693.05;1680.91;1689.04
2019-04-29;1694.19;1684.32;1693.31
2019-04-30;1691.43;1675.97;1676.14
2019-05-02;1675.76;1662.28;1665.45
2019-05-03;1676.9;1664.05;1672.33
2019-05-06;1665.89;1627.2;1649.22
2019-05-07;1653;1613.35;1617.85
2019-05-08;1624.77;1611.5;1623.37
2019-05-09;1622.45;1593.84;1596.69
2019-05-10;1615.61;1593.47;1603.37
2019-05-13;1603.24;1572.85;1573.84
2019-05-14;1591.12;1574.4;1590.82
2019-05-15;1597.96;1574.77;1593.32
2019-05-16;1615.38;1586.25;1615.38
2019-05-17;1614.44;1591.06;1606.86
2019-05-20;1607.13;1582.58;1588.9
2019-05-21;1605.69;1590.89;1602.91
2019-05-22;1605.75;1587.78;1595.64
2019-05-23;1593.54;1558.88;1561.17
2019-05-24;1579.12;1563.18;1571.52
2019-05-27;1582.46;1565.78;1568.23
2019-05-28;1572.63;1555.23;1565.12
2019-05-29;1562.37;1538.11;1538.75
2019-05-31;1536.63;1505.13;1510.46
2019-06-03;1518.23;1494.19;1518.23
2019-06-04;1537.31;1506.39;1537.31
2019-06-05;1546.75;1531.01;1542
2019-06-07;1570.78;1543.37;1566.14
2019-06-10;1584.2;1569.32;1574.48
2019-06-11;1597.43;1575.56;1593.36
2019-06-12;1596.32;1580.45;1593.6
2019-06-13;1604.73;1587.06;1598.12
2019-06-14;1597.38;1579.39;1589.6
2019-06-17;1593.65;1582.28;1586.53
2019-06-18;1612.05;1573.14;1609.43
2019-06-19;1615.81;1607.11;1612.4
2019-06-20;1632.83;1617.45;1628.29
2019-06-24;1635.59;1609.32;1610.94
2019-06-25;1612.94;1605.12;1607.29
2019-06-26;1611.19;1596.01;1604.23
2019-06-27;1621.73;1605.08;1616.94
2019-06-28;1627.01;1615.32;1622.43
2019-07-01;1645.78;1622.83;1642
2019-07-02;1648.26;1637.98;1647.02
2019-07-03;1657.09;1641.78;1648.84
2019-07-04;1654.9;1648.25;1652.25
2019-07-05;1652.88;1620.18;1634.94
2019-07-08;1646.38;1629.96;1642.07
